SEQN,SDDSRVYR,RIDSTATR,RIAGENDR,RIDAGEYR,RIDAGEMN,RIDRETH1,RIDRETH3,RIDEXMON,RIDEXAGM,DMQMILIZ,DMQADFC,DMDBORN4,DMDCITZN,DMDYRSUS,DMDEDUC3,DMDEDUC2,DMDMARTL,RIDEXPRG,SIALANG,SIAPROXY,SIAINTRP,FIALANG,FIAPROXY,FIAINTRP,MIALANG,MIAPROXY,MIAINTRP,AIALANGA,DMDHHSIZ,DMDFMSIZ,DMDHHSZA,DMDHHSZB,DMDHHSZE,DMDHRGND,DMDHRAGE,DMDHRBR4,DMDHREDU,DMDHRMAR,DMDHSEDU,WTINT2YR,WTMEC2YR,SDMVPSU,SDMVSTRA,INDHHIN2,INDFMIN2,INDFMPIR
88924,9,2,1,34,,5,6,1,,2,,2,1,6,,5,5,,1,2,2,1,2,2,1,2,2,1,3,1,0,0,0,1,34,2,5,5,,23073.99,23201.18,2,122,10,1,0.00
88925,9,2,1,69,,1,1,1,,1,1,1,1,,,4,6,,1,2,2,1,2,2,1,2,2,1,2,1,0,0,1,1,69,1,4,6,,7475.80,7737.67,2,128,15,15,5.00
88926,9,2,1,70,,3,3,2,,2,,1,1,,,5,1,,1,2,2,1,2,2,1,2,2,,2,2,0,0,2,2,68,1,5,1,5,53349.39,54105.88,1,131,14,14,5.00
88927,9,2,1,50,,5,7,1,,2,,1,1,,,1,4,,1,2,2,1,2,2,1,2,2,1,1,1,0,0,0,1,50,1,1,4,,10470.43,10602.59,1,123,1,1,0.18
88928,9,2,1,15,,5,7,2,182,,,1,1,,9,,,,1,1,2,1,2,2,1,2,2,1,5,5,1,2,0,1,41,1,4,1,5,19074.32,18996.21,1,126,15,15,3.52
88929,9,2,1,12,,4,4,2,155,,,1,1,,6,,,,1,1,2,1,2,2,1,2,2,1,5,5,0,3,0,1,46,2,3,1,3,13023.94,12970.61,1,129,77,77,
88930,9,2,1,24,,3,3,2,,2,,1,1,,,5,6,,1,2,2,1,2,2,1,2,2,1,2,2,0,0,0,2,23,1,5,1,5,61965.05,66467.87,2,130,5,5,1.37
88931,9,2,1,4,,5,7,1,55,,,1,1,,,,,,1,1,2,1,2,2,,,,,4,4,1,2,0,2,38,1,4,3,,12879.13,13539.00,1,129,5,5,0.99
88932,9,2,2,38,,2,2,1,,2,,2,2,7,,4,1,2,1,2,2,1,2,2,1,2,2,1,5,5,0,2,1,2,68,2,1,2,,22772.03,24832.58,1,120,6,6,1.18
88933,9,2,2,41,,4,4,2,,2,,1,1,,,4,1,2,1,2,2,1,2,2,,,,,4,4,1,1,0,1,44,,,1,4,30091.44,31223.91,2,129,9,9,2.47
88934,9,2,1,80,,3,3,2,,1,2,1,1,,,5,1,,1,1,2,1,2,2,1,1,2,,2,2,0,0,2,1,80,1,5,1,3,37605.50,42660.13,2,124,15,15,5.00
88935,9,2,1,80,,3,3,2,,2,,1,1,,,3,1,,1,2,2,1,2,2,1,2,2,,2,2,0,0,2,1,80,1,3,1,4,26847.38,29171.79,1,131,10,10,4.08
88936,9,2,1,0,9,2,2,2,11,,,1,1,,,,,,1,1,2,1,2,2,,,,,5,5,2,1,0,2,28,1,4,1,4,5567.61,5858.83,2,120,14,14,3.41
